HttpOpenRequestA,InternetCrackUrlA,NtSetContextThread,AnalyzeStart,KeBugCheck2,NtWriteVirtualMemory,NtWriteFile,DeleteFileW,gethostbyname,Fake_SetFileCreationTime,FindFirstFileExW,NtCreateThreadEx,NtShutdownSystem,GetComputerNameExW,NtCreateMutant,connect,NtReadVirtualMemory,Thread32First,Process32FirstW,listen,CreateServiceW,CryptExportKey,WSARecv,KiTrap0D,NtDeleteKey,WSAConnect,AnalyzeStop,NtTerminateProcess,CreateProcessInternalW,URLDownloadToFileW,MoveFileWithProgressW,WMICreateInstanceEnum,Fake_BeInjected,InternetCrackUrlW,WSARecvFrom,GetComputerNameW,AutoLogin,GetForegroundWindow,GetAdaptersAddresses,StrangeBehavior,CryptGenKey,NtSuspendThread,OpenSCManagerW,WMIExecQuery,sendto,NtUnloadDriver,NtLoadDriver,Module32FirstW,Fake_TerminateRemoteProcess,NtReadFile,WSASocketW,recv,NtSetValueKey,NtTerminateThread,Fake_DetectDebugger,EnumServicesStatusExW,InternetReadFile,Login,NtSetSystemInformation,StartServiceW,GetProcessAffinityMask,UnpackSelf,EnumServicesStatusA,OpenServiceW,KiGeneralProtectionFault,NtQueryAttributesFile,LoadLibraryExW,NtDeleteValueKey,SetWindowsHookExW,CopyFileExW,NtSetSystemTime,NtCreateFile,NtCreateThread,EnumServicesStatusW,NtQueryDirectoryFile,PowerOn,VMDetect,WMIConnectServer,SendARP,WSASendTo,DeleteService,send,NtAdjustPrivilegesToken,Fake_SetFileHiddenOrReadOnly,NtQueryFullAttributesFile,Fake_BeCreatedEx,NtSuspendProcess,recvfrom,WSASend,TryToAnalyze,TooManyBehavior,Fake_WritePEFile,NtDeleteFile,label,api_name
0,0,0,"1
",0,0,"14
",0,0,0,0,0,0,"3
",0,0,0,0,0,0,0,0,0,0,0,0,"1
","1
",0,0,0,0,0,0,0,"4
",0,0,0,0,0,0,"4
",0,0,0,0,0,0,"15
",0,0,"23
",0,"6
",0,0,0,0,0,0,"1
",0,"4
",0,"10
","27
",0,0,"52
",0,"1
",0,0,0,0,0,0,0,0,0,0,0,"46
",0,"1
",0,0,0,"1
",0,"104
",0,1,5ab47016fa3c91a004e33d0763afe58ff0d9a6076c8a0fef9126393ed8922c25
0,0,0,"1
",0,0,"500
","286
","26
",0,0,0,0,"31
","500
","20
","500
",0,"8
",0,0,0,0,0,0,0,"1
","447
","337
",0,"33
",0,0,0,0,"105
","1
","1
",0,0,0,0,"16
","17
",0,0,0,0,"26
","500
","12
",0,"159
",0,"500
",0,0,0,0,0,0,0,0,"16
",0,"500
","500
",0,0,"33
",0,"500
",0,0,"332
",0,0,"17
",0,0,0,0,"32
","161
",0,"249
",0,0,0,"341
","9
","32
",0,1,6951a62d16bad4d309e4237e182638a90b68225f3ff07268caa192528ac3c03c
0,0,0,"1
",0,0,0,0,0,0,0,0,0,0,"14
",0,0,0,0,0,0,0,0,0,0,0,"1
","1
",0,0,0,0,0,0,0,"2
","1
","5
",0,0,0,0,0,0,0,0,0,0,0,"4
",0,0,"1
",0,"4
",0,0,0,0,0,0,0,0,0,0,"16
","42
",0,0,0,0,"2
",0,0,0,0,0,0,0,0,0,0,0,0,0,"2
",0,0,0,"2
",0,0,0,1,211b18666b734819202ed3f5078c7f66784a4f340bd8583fe61688dea33aa235
0,0,0,"1
",0,0,"500
","176
","59
",0,"1
",0,0,"76
","500
","11
","500
",0,"2
",0,0,0,0,0,0,0,"1
","257
","260
",0,"33
",0,0,0,0,"209
","1
","1
",0,0,0,0,"36
","56
",0,0,0,0,"75
","500
","11
",0,"103
",0,"500
",0,0,0,0,0,0,0,0,"36
",0,"500
","500
",0,0,"33
",0,"500
",0,0,"117
",0,0,"56
",0,0,0,0,"143
","155
",0,"249
",0,0,0,"265
","9
","18
",0,1,8ed6950689799e43e0d5910dc100b92a530ed2b561f63153d6d7150be518bd96
0,0,0,"1
",0,0,"500
","178
","94
",0,"1
",0,0,"1
","338
","180
",0,0,"5
",0,"1
",0,0,0,0,0,"1
","228
","186
",0,"24
",0,0,0,0,"21
","1
","1
",0,0,0,0,"500
",0,0,0,0,0,0,"500
","8
",0,"500
",0,"500
",0,0,0,0,"3
",0,0,0,"500
",0,"500
","500
",0,0,"24
",0,"322
",0,0,"161
",0,0,0,0,0,0,0,"1
","94
",0,"190
",0,0,0,"190
","8
","32
",0,1,cd8673cf0373e2da6c93b590e179876e6652b61a3d5a523b8e0c2ea102393f05
0,0,0,"1
",0,0,0,0,0,0,0,0,0,0,"7
",0,0,0,0,0,0,0,0,0,0,0,"1
","1
",0,0,0,0,0,0,0,0,0,"3
",0,0,0,0,0,0,0,0,0,0,0,"3
",0,0,0,0,"1
",0,0,0,0,0,0,0,0,0,0,"4
","18
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1
",0,0,0,"1
",0,0,0,1,3695ae991c555a4386818e956b1121b7b72b8acc2b9c174fefb42d51953b51d2
"8
","4
",0,"1
",0,"72
","81
","1
",0,"31
","13
",0,0,"3
","500
","6
","500
",0,"1
",0,0,0,"11
",0,"126
",0,"1
","7
",0,0,0,0,"64
",0,0,"8
",0,"500
",0,0,0,0,"24
",0,"2
",0,0,"9
",0,"289
","1
",0,"500
",0,"500
",0,"11
",0,0,0,0,0,"2
","24
",0,"208
","62
","76
",0,"2
",0,"4
","72
",0,"2
",0,0,0,0,0,0,"5
","169
","2
",0,"29
",0,0,0,"29
","5
","82
",0,1,40b03525089c9d9e4ab639ff58df0fa91f889cd1bde4a417a4258c94665b376c
0,0,0,"1
",0,0,"1
",0,0,0,0,0,0,"1
","8
",0,0,0,0,"1
",0,0,0,0,0,0,"1
","1
",0,0,0,0,0,0,0,"1
",0,"7
","1
",0,0,0,0,0,0,0,0,0,0,"15
","1
",0,"24
",0,"9
",0,0,0,0,0,0,0,0,0,0,"125
","66
","1
",0,0,0,"4
",0,0,0,0,0,0,0,0,0,0,0,0,0,"1
",0,0,0,"1
",0,0,0,1,c6206f5adda1008d390eebf54998c3688f9484b38d13f179a7430818cf66c39b
0,0,0,"1
",0,0,"500
","341
","7
",0,"1
",0,0,"9
","365
","8
","138
",0,"3
",0,0,0,0,0,0,0,"1
","269
","193
",0,"62
",0,0,0,0,"45
","1
","1
",0,0,0,0,"4
","4
",0,0,0,0,"5
","500
","4
",0,"89
",0,"500
",0,0,0,0,0,0,0,0,"4
",0,"500
","500
",0,0,"62
",0,"371
",0,0,"221
",0,0,"5
",0,0,0,0,"6
","76
",0,"198
",0,0,0,"198
","5
","31
",0,1,70c62e9fba8cfc105f04b028b2b468e9e23c0c67dbca3d55d2a66d1e5eca7e72
0,0,0,"1
",0,0,"500
","406
","7
",0,"3
",0,0,"4
","500
","10
",0,0,"8
",0,0,0,0,0,0,0,"1
","500
","349
",0,"56
",0,0,0,0,"53
","1
","1
",0,0,0,0,"4
","1
",0,0,0,0,0,"500
","6
",0,"151
",0,"500
",0,0,0,0,0,0,0,0,"4
",0,"500
","500
",0,0,"55
",0,"500
",0,0,"378
",0,0,"1
",0,0,0,0,"2
","116
",0,"249
",0,0,0,"351
","8
","29
",0,1,726f897f093b883a482da7818d70b2c2b1ee8d87e2594ebfdf4ac023ea0d1af3
